gid,config
485,i_pvwatts_fixed
486,i_pvwatts_fixed
487,i_pvwatts_fixed
488,i_pvwatts_fixed
489,i_pvwatts_fixed
490,i_pvwatts_fixed
491,i_pvwatts_fixed
492,i_pvwatts_fixed
493,i_pvwatts_fixed
494,i_pvwatts_fixed
495,i_pvwatts_fixed
496,i_pvwatts_fixed
497,i_pvwatts_fixed
498,i_pvwatts_fixed
499,i_pvwatts_fixed
500,i_pvwatts_fixed
501,i_pvwatts_fixed
502,i_pvwatts_fixed
503,i_pvwatts_fixed
504,i_pvwatts_fixed
505,i_pvwatts_fixed
506,i_pvwatts_fixed
507,i_pvwatts_fixed
508,i_pvwatts_fixed
509,i_pvwatts_fixed
510,i_pvwatts_fixed
511,i_pvwatts_fixed
512,i_pvwatts_fixed
513,i_pvwatts_fixed
514,i_pvwatts_fixed
515,i_pvwatts_fixed
516,i_pvwatts_fixed
517,i_pvwatts_fixed
518,i_pvwatts_fixed
519,i_pvwatts_fixed
520,i_pvwatts_fixed
521,i_pvwatts_fixed
522,i_pvwatts_fixed
523,i_pvwatts_fixed
524,i_pvwatts_fixed
525,i_pvwatts_fixed
526,i_pvwatts_fixed
527,i_pvwatts_fixed
528,i_pvwatts_fixed
529,i_pvwatts_fixed
530,i_pvwatts_fixed
531,i_pvwatts_fixed
532,i_pvwatts_fixed
533,i_pvwatts_fixed
534,i_pvwatts_fixed
535,i_pvwatts_fixed
536,i_pvwatts_fixed
537,i_pvwatts_fixed
538,i_pvwatts_fixed
539,i_pvwatts_fixed
540,i_pvwatts_fixed
541,i_pvwatts_fixed
542,i_pvwatts_fixed
543,i_pvwatts_fixed
544,i_pvwatts_fixed
545,i_pvwatts_fixed
546,i_pvwatts_fixed
547,i_pvwatts_fixed
548,i_pvwatts_fixed
549,i_pvwatts_fixed
550,i_pvwatts_fixed
551,i_pvwatts_fixed
552,i_pvwatts_fixed
553,i_pvwatts_fixed
554,i_pvwatts_fixed
555,i_pvwatts_fixed
556,i_pvwatts_fixed
557,i_pvwatts_fixed
558,i_pvwatts_fixed
559,i_pvwatts_fixed
560,i_pvwatts_fixed
561,i_pvwatts_fixed
562,i_pvwatts_fixed
563,i_pvwatts_fixed
564,i_pvwatts_fixed
565,i_pvwatts_fixed
566,i_pvwatts_fixed
567,i_pvwatts_fixed
568,i_pvwatts_fixed
569,i_pvwatts_fixed
570,i_pvwatts_fixed
571,i_pvwatts_fixed
572,i_pvwatts_fixed
573,i_pvwatts_fixed
574,i_pvwatts_fixed
575,i_pvwatts_fixed
576,i_pvwatts_fixed
577,i_pvwatts_fixed
578,i_pvwatts_fixed
579,i_pvwatts_fixed
580,i_pvwatts_fixed
581,i_pvwatts_fixed
582,i_pvwatts_fixed
583,i_pvwatts_fixed
584,i_pvwatts_fixed
585,i_pvwatts_fixed
586,i_pvwatts_fixed
587,i_pvwatts_fixed
588,i_pvwatts_fixed
589,i_pvwatts_fixed
590,i_pvwatts_fixed
591,i_pvwatts_fixed
592,i_pvwatts_fixed
593,i_pvwatts_fixed
